,node_1_attributes,node_2_attributes,node_1,node_2,edge,chunk_id,count,Expert Answer,Short Justification,<- Fill the Answers in these columns
52,"{'is_active_ingredient': False, 'explanation': 'There is no context suggesting it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'There is no context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 40,"(3,5-dichloro-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[3,4-b][1,4]oxazin-1-yl)-methanone",hasFormula,992e1f8eb8934e888810505122916a1b,4,,,
53,"{'is_active_ingredient': False, 'explanation': 'The compound is not noted as having pharmacological activity.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The compound is not noted as having pharmacological activity.', 'category': 'chemical_compound'}",compound 41,"2-(3,5-dibromo-4-hydroxy-phenyl)-1-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-ethanone",hasFormula,992e1f8eb8934e888810505122916a1b,4,,,
54,"{'is_active_ingredient': False, 'explanation': 'No indication of active ingredient status is provided.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'No indication of active ingredient status is provided.', 'category': 'chemical_compound'}",compound 42,"(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(3-methoxy-isoxazol-5-yl)-methanone",hasFormula,992e1f8eb8934e888810505122916a1b,4,,,
55,"{'is_active_ingredient': False, 'explanation': 'The compound does not have noted active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The compound does not have noted active properties.', 'category': 'chemical_compound'}",compound 43,"(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(3-hydroxy-isoxazol-5-yl)-methanone",hasFormula,992e1f8eb8934e888810505122916a1b,4,,,
56,"{'is_active_ingredient': False, 'explanation': 'No context suggests it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'No context suggests it is an active ingredient.', 'category': 'chemical_compound'}",compound 44,"(3,5-dibromo-4-hydroxy-phenyl)-[7-(4-trifluoromethyl-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,992e1f8eb8934e888810505122916a1b,4,,,
57,"{'is_active_ingredient': False, 'explanation': 'No evidence suggesting it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'No evidence suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 45,"(3,5-dibromo-4-hydroxy-phenyl)-[7-(2-trifluoromethyl-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,992e1f8eb8934e888810505122916a1b,4,,,
58,"{'is_active_ingredient': False, 'explanation': 'No pharmacological activity is mentioned.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'No pharmacological activity is mentioned.', 'category': 'chemical_compound'}",compound 46,"1-(3,5-dibromo-4-methoxy-benzoyl)-2,3-dihydro-1h-pyrido[2,3-b][1,4]oxazin-7-carbonitrile",hasFormula,992e1f8eb8934e888810505122916a1b,4,,,
59,"{'is_active_ingredient': False, 'explanation': 'No context indicates it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'No context indicates it is an active ingredient.', 'category': 'chemical_compound'}",compound 47-1,"1-(3,5-dibromo-4-hydroxy-benzoyl)-2,3-dihydro-1h-pyrido[2,3-b][1,4]oxazin-7-carbonitrile",hasFormula,992e1f8eb8934e888810505122916a1b,4,,,
60,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 47-1,"1-(3,5-dibromo-4-hydroxy-benzoyl)-2,3-dihydro-1h-pyrido[2,3-b][1,4]oxazin-7-carbonitrile (compound 47-2)",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
61,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 48,"(3,5-dibromo-4-methoxy-phenyl)-[7-(3-nitro-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
62,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 49,"(3,5-dibromo-4-methoxy-phenyl)-[7-(3-nitro-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
63,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 50,"(3,5-dibromo-4-hydroxy-phenyl)-[7-(3-dimethylamino-phenyl)-2,3-dihydropyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
64,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 51,"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanethione",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
65,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 52,"(3,5-dibromo-4-hydroxy-phenyl)-(7-pyridin-3-yl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
66,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 53,"(3,5-dibromo-4-hydroxy-phenyl)-(7-furan-3-yl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
67,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 54,"1-(3,5-dibromo-4-hydroxy-phenyl)-2-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-ethanone",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
68,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 55,"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-4-oxa-1,9-diaza-phenanthren-1-yl)-methanone",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
69,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 56,"4-[2-(3,5-dibromo-4-hydroxy-phenyl)-2-oxo-ethyl)]-4h-pyrido[4,3-b][1,4]oxazin-3-one",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
70,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 57,"4-(3,5-dibromo-4-methoxy-benzoyl)-4h-pyrido[4,3-b][1,4]oxazin-3-one",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
71,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 58,"(3,5-dibromo-4-methoxy-phenyl)-(6-methyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
72,"{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': '', 'category': 'chemical_compound'}",compound 59,"(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(2,4-dihydroxy-pyrimidin-5-yl)-methanone",hasFormula,49c143768cc7409983755de06163ffd2,4,,,
73,"{'is_active_ingredient': True, 'explanation': 'Compound 58 is mentioned in the context as part of a list of compounds, implying its usage in chemical or pharmaceutical formulations.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 58 has a specific chemical structure described as (2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(2,4-dihydroxy-pyrimidin-5-yl)-methanone.', 'category': 'chemical_compound'}",compound 58,"(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(2,4-dihydroxy-pyrimidin-5-yl)-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
74,"{'is_active_ingredient': True, 'explanation': 'Compound 59 appears alongside other compounds in a context implying relevance to pharmaceutical applications.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 59 is specified as (2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(2,6-dihydroxy-pyrimidin-4-yl)-methanone.', 'category': 'chemical_compound'}",compound 59,"(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(2,6-dihydroxy-pyrimidin-4-yl)-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
75,"{'is_active_ingredient': True, 'explanation': 'Compound 60 is part of a series of compounds which suggests its role in chemical formulations.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 60 is detailed as (3,5-dibromo-4-hydroxy-phenyl)-(7-isoquinolin-4-yl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone.', 'category': 'chemical_compound'}",compound 60,"(3,5-dibromo-4-hydroxy-phenyl)-(7-isoquinolin-4-yl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
76,"{'is_active_ingredient': True, 'explanation': 'Compound 61 is mentioned amongst other compounds indicating its significance in a scientific context.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 61 is given as (3,5-dibromo-4-hydroxy-phenyl)-(6,7-dihydro-pyrimido[4,5-b][1,4]oxazin-5-yl)-methanone.', 'category': 'chemical_compound'}",compound 61,"(3,5-dibromo-4-hydroxy-phenyl)-(6,7-dihydro-pyrimido[4,5-b][1,4]oxazin-5-yl)-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
77,"{'is_active_ingredient': True, 'explanation': 'Compound 62 is listed with others, implying its role in chemical or pharmaceutical research.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 62 is specified as (3,5-dibromo-4-hydroxy-phenyl)-[7-(3-trifluoromethyl-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone.', 'category': 'chemical_compound'}",compound 62,"(3,5-dibromo-4-hydroxy-phenyl)-[7-(3-trifluoromethyl-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
78,"{'is_active_ingredient': True, 'explanation': 'Compound 63 is included in a sequence of compounds, suggesting its importance in a scientific domain.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 63 is described as (3,5-dibromo-4-hydroxy-phenyl)-[7-(3-fluoromethyl-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone.', 'category': 'chemical_compound'}",compound 63,"(3,5-dibromo-4-hydroxy-phenyl)-[7-(3-fluoromethyl-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
79,"{'is_active_ingredient': True, 'explanation': 'Compound 64 is among the compounds listed, indicating its role in chemical applications.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 64 is detailed as 4-[1-(3,5-dibromo-4-hydroxy-benzoyl)-2,3-dihydro-1H-pyrido[2,3-b][1,4]oxazin-7-yl]-benzonitrile.', 'category': 'chemical_compound'}",compound 64,"4-[1-(3,5-dibromo-4-hydroxy-benzoyl)-2,3-dihydro-1h-pyrido[2,3-b][1,4]oxazin-7-yl]-benzonitrile",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
80,"{'is_active_ingredient': True, 'explanation': 'Compound 65 is presented in a context suggesting its use in scientific or pharmaceutical settings.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 65 is defined as (3,5-dibromo-4-hydroxy-phenyl)-[7-(4-trifluoromethoxy-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone.', 'category': 'chemical_compound'}",compound 65,"(3,5-dibromo-4-hydroxy-phenyl)-[7-(4-trifluoromethoxy-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
81,"{'is_active_ingredient': True, 'explanation': 'Compound 66 is listed in a sequence of compounds indicating its importance in research contexts.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 66 is represented as 1- {4-[1-(3,5-dibromo-4-hydroxy-benzoyl)-2,3-dihydro-1H-pyrido[2,3-b][1,4]oxazin-7-yl]-phenyl}-ethanone.', 'category': 'chemical_compound'}",compound 66,"1- {4-[1-(3,5-dibromo-4-hydroxy-benzoyl)-2,3-dihydro-1h-pyrido[2,3-b][1,4]oxazin-7-yl]-phenyl}-ethanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
82,"{'is_active_ingredient': True, 'explanation': 'Compound 67 is part of a series of compounds suggesting its role in chemical research or applications.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 67 is expressed as (3,5-dibromo-4-hydroxy-phenyl)-[7-(5-methoxy-pyridin-3-yl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone.', 'category': 'chemical_compound'}",compound 67,"(3,5-dibromo-4-hydroxy-phenyl)-[7-(5-methoxy-pyridin-3-yl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
83,"{'is_active_ingredient': True, 'explanation': 'Compound 68 is listed with other compounds, indicating its significance in a scientific or pharmaceutical context.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 68 is depicted as (4-hydroxy-3-trifluoromethyl-phenyl)-(7-methyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone.', 'category': 'chemical_compound'}",compound 68,"(4-hydroxy-3-trifluoromethyl-phenyl)-(7-methyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
84,"{'is_active_ingredient': True, 'explanation': 'Compound 69 is presented in a list of compounds, suggesting its role in chemical or pharmaceutical research.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 69 is specified as (3,5-dibromo-4-hydroxy-phenyl)-[7-(1H-indol-4-yl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone.', 'category': 'chemical_compound'}",compound 69,"(3,5-dibromo-4-hydroxy-phenyl)-[7-(1h-indol-4-yl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
85,"{'is_active_ingredient': True, 'explanation': 'Compound 70 is part of a series, indicating its relevance in chemical or scientific studies.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 70 is represented as (3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone.', 'category': 'chemical_compound'}",compound 70,"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone",hasFormula,40e80f34721c4f79a5c286b67ca28555,4,,,
86,"{'is_active_ingredient': False, 'explanation': 'The text does not specify if compound 70 is the active ingredient, and it is not indicated as such.', 'category': 'chemical_compound'}","{'is_active_ingredient': True, 'explanation': 'As a detailed chemical compound, (3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone is likely to be an active ingredient because it is combined with sulfuric acid salt.', 'category': 'active_ingredient'}",compound 70,"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone (compound 71)",hasFormula,1114f981435143fca5dc07a183951931,4,,,
87,"{'is_active_ingredient': True, 'explanation': 'This compound is specified with sodium salt, suggesting it could be used as an active ingredient.', 'category': 'active_ingredient'}","{'is_active_ingredient': False, 'explanation': 'The text does not specify if compound 72 is the active ingredient, and it is not indicated as such.', 'category': 'chemical_compound'}","(2,6-dibromo-4-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-carbonyl)-phenolate sodium salt (compound 72)",compound 72,hasFormula,1114f981435143fca5dc07a183951931,4,,,
88,"{'is_active_ingredient': True, 'explanation': 'As a compound with a specified potassium salt form, it is likely an active ingredient.', 'category': 'active_ingredient'}","{'is_active_ingredient': False, 'explanation': 'The text does not specify if compound 73 is the active ingredient, and it is not indicated as such.', 'category': 'chemical_compound'}","(2,6-dibromo-4-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-carbonyl)-phenolate potassium salt (compound 73)",compound 73,hasFormula,1114f981435143fca5dc07a183951931,4,,,
89,"{'is_active_ingredient': True, 'explanation': 'This detailed chemical compound with trifluoroacetic acid salt suggests it could be an active ingredient.', 'category': 'active_ingredient'}","{'is_active_ingredient': False, 'explanation': 'The text does not specify if compound 74 is the active ingredient, and it is not indicated as such.', 'category': 'chemical_compound'}","(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanethione trifluoroacetic acid salt (compound 74)",compound 74,hasFormula,1114f981435143fca5dc07a183951931,4,,,
90,"{'is_active_ingredient': True, 'explanation': 'This compound is specified in detail and likely serves as an active ingredient due to its complex structure and potential pharmaceutical use.', 'category': 'active_ingredient'}","{'is_active_ingredient': False, 'explanation': 'The text does not specify if compound 75 is the active ingredient, and it is not indicated as such.', 'category': 'chemical_compound'}","1-[1-(3,5-dibromo-4-hydroxy-benzoyl)-2,3-dihydro-1h-pyrido[2,3-b][1,4]oxazin-7-yl]-pyrrolidin-2-one (compound 75)",compound 75,hasFormula,1114f981435143fca5dc07a183951931,4,,,
